,ECON101_grade,ENGLISH125_grade,DATASCI306_grade,MATH217_grade,STATS250_grade,EECS545_grade
5412,B-,A-,,,B-,
5413,B+,B,,,B+,
5414,B+,A+,,,B-,
5415,A+,A-,,,C+,
5416,B,A+,,,B,
5417,B-,B+,,,C-,
5418,D,A+,,,B,
5419,B-,A,,,C-,
5420,A-,A,,,A+,
5421,B+,A,,,B-,
5422,B-,A,,,B+,
5423,B+,A,,,B-,
5424,C,A,,,A,
5425,A,A-,,,B,
5426,C,A-,,,A,
5427,B-,A,,,B+,
5428,A-,C+,,,A+,
5429,C,A,,,B,
5430,B,A,,,B+,
5431,C,A-,,,A+,
5432,B+,A,,,B+,
5433,B-,B+,,,C+,
5434,C,A,,,B+,
5435,A,B+,,,A-,
5436,A-,B+,,,C,
5437,B,A,,,C+,
5438,B,A,,,A-,
5439,B+,A,,,A-,
5440,B+,A,,,B+,
5441,A-,B+,,,A-,
5442,A+,A-,,,A+,
5443,A-,A,,,C-,
5444,C+,A,,,B+,
5445,B+,A,,,D,
5446,B,B+,,,A-,
5447,C+,B-,,,C,
5448,A,A,,,B+,
5449,B-,B+,,,A-,
5450,C+,B+,,,B+,
5451,C,A+,,,D,
5452,B+,A,,,C,
5453,B+,A-,,,B,
5454,A-,B+,,,B+,
5455,B+,A-,,,C,
5456,B,A,,,B,
5457,A-,A-,,,B-,
5458,B+,A,,,A+,
5459,C,A-,,,B,
5460,A,B-,,,C,
5461,B+,B+,,,A,
5462,A-,A-,,,A,
5463,B-,A-,,,A-,
5464,B,A-,,,A-,
5465,B,A-,,,B-,
5466,A,A-,,,A,
5467,B+,A,,,A-,
5468,B,B,,,B+,
5469,B+,B+,,,B,
5470,A-,B+,,,A+,
5471,B-,A,,,B,
5472,A-,B+,,,B+,
5473,B+,B-,,,C,
5474,C+,A,,,B,
5475,A+,A-,,,B+,
5476,C+,A,,,B-,
5477,A,A+,,,C,
5478,B+,A-,,,B-,
5479,B,A,,,A,
5480,A+,B+,,,B,
5481,B+,B,,,B,
5482,B,A,,,A-,
5483,C-,B+,,,B,
5484,B+,A-,,,A,
5485,C,A-,,,C+,
5486,A-,A,,,A,
5487,B,B+,,,B-,
5488,C,A+,,,B,
5489,B,A,,,A,
5490,A-,A-,,,A,
5491,B,A,,,A-,
5492,E,A,,,C,
5493,C,A-,,,B-,
5494,B,A-,,,C+,
5495,B,B+,,,A-,
5496,A-,A-,,,A-,
5497,A+,A,,,B-,
5498,B,B-,,,A,
5499,A-,B+,,,B+,
5500,B-,A+,,,C-,
5501,B-,A+,,,A+,
5502,B,A-,,,B,
5503,C+,A,,,B+,
5504,C+,A,,,B-,
5505,B-,A,,,A,
5506,A-,B,,,A,
5507,B+,A,,,B-,
5508,B+,A,,,C+,
5509,D,B,,,B-,
5510,C,B+,,,A+,
5511,B,A,,,A,
5512,A-,A,,,B+,
5513,A,B,,,C-,
5514,A+,A,,,E,
5515,B-,A-,,,B,
5516,B+,A,,,A,
5517,B,A,,,B+,
5518,A+,A,,,B+,
5519,C+,A-,,,A,
5520,B,A-,,,C+,
5521,B,A,,,C+,
5522,A,B+,,,C+,
5523,A,A-,,,E,
5524,A+,A,,,B+,
5525,D+,A,,,B-,
5526,B+,B,,,A-,
5527,B,A-,,,C+,
5528,B+,A,,,E,
5529,B-,A,,,A+,
5530,B,A+,,,A-,
5531,A-,B-,,,A,
5532,C,A-,,,C+,
5533,B+,B+,,,A,
5534,B+,A,,,A-,
5535,E,A,,,B+,
5536,A,A-,,,B+,
5537,D+,A-,,,A,
5538,B,A,,,B+,
5539,A,A+,,,B,
5540,B,A,,,A-,
5541,B-,B,,,A-,
5542,A,B,,,C+,
5543,C-,A,,,C,
5544,C+,B,,,C,
5545,B,B+,,,B-,
5546,C+,A,,,A-,
5547,A,A-,,,A-,
5548,B+,A-,,,D+,
5549,B+,A,,,B-,
5550,A,A,,,E,
5551,B+,B+,,,A-,
5552,A,B,,,B,
5553,B,A,,,C+,
5554,A+,A,,,B-,
5555,C-,A,,,E,
5556,B,B+,,,B+,
5557,B+,A,,,C+,
5558,B+,A-,,,A+,
5559,B-,A,,,B-,
5560,B-,B-,,,A-,
5561,B,A,,,B-,
5562,C+,A-,,,A,
5563,A-,A,,,A+,
5564,A-,A-,,,B,
5565,B-,C+,,,A-,
5566,B+,A,,,B+,
5567,B+,A,,,B+,
5568,B,A,,,A+,
5569,B-,A-,,,C+,
5570,A,B,,,A,
5571,B,B+,,,A-,
5572,B,B+,,,A-,
5573,A-,C-,,,B-,
5574,C+,A,,,B-,
5575,C,A+,,,B+,
5576,E,B,,,B-,
5577,A-,A,,,B+,
5578,A+,A-,,,A-,
5579,C+,B,,,A,
5580,A-,A,,,B,
5581,A+,A,,,B+,
5582,B+,A-,,,B+,
5583,B+,A,,,C+,
5584,C,A,,,A,
5585,A,B,,,C+,
5586,A-,B-,,,A,
5587,B,A,,,A,
5588,B-,A,,,D+,
5589,B,A-,,,B-,
5590,A,A-,,,B+,
5591,D,A-,,,A,
5592,A-,A-,,,C+,
5593,B-,A,,,A+,
5594,C+,B-,,,B+,
5595,A+,A-,,,B-,
5596,B-,A,,,B,
5597,A-,A,,,B+,
5598,A-,A,,,A,
5599,A-,B-,,,B+,
5600,B+,A,,,A,
5601,A,A,,,B,
5602,A,A,,,B-,
5603,A,B,,,C+,
5604,A-,A-,,,A,
5605,A+,A+,,,C+,
5606,B+,A-,,,A-,
5607,A+,A,,,A-,
5608,B,A,,,B,
5609,B-,A,,,A,
5610,B,B+,,,B+,
5611,A,A,,,A,
5612,B-,B+,,,B+,
5613,B+,A,,,A-,
5614,A-,A,,,B-,
5615,A-,A,,,D+,
5616,B,A-,,,C+,
5617,C+,B,,,A,
5618,A-,E,,,B,
5619,A,C+,,,B,
5620,A,B+,,,B+,
5621,A-,A,,,C+,
5622,A-,A,,,C+,
5623,A-,B+,,,B-,
5624,A,A+,,,B-,
5625,B,A-,,,B+,
5626,C-,A-,,,A,
5627,A,A-,,,A,
5628,A-,A,,,B+,
5629,C+,A-,,,A-,
5630,B,A,,,A,
5631,A-,A-,,,C+,
5632,A-,A,,,C,
5633,B-,A,,,A,
5634,B,B+,,,C-,
5635,B+,A,,,C-,
5636,A-,C+,,,B,
5637,B-,B+,,,B,
5638,B-,B+,,,B+,
5639,A,A,,,B+,
5640,B-,A,,,A-,
5641,C-,B+,,,C-,
5642,B,A,,,A,
5643,A-,A-,,,C-,
5644,B,A-,,,B,
5645,B+,A-,,,E,
5646,B,A,,,C-,
5647,B,B,,,A,
5648,B,A-,,,A-,
5649,A-,B+,,,C+,
5650,A-,A,,,C+,
5651,C,A,,,B+,
5652,C+,B,,,B-,
5653,C,B+,,,B-,
5654,A-,A-,,,B-,
5655,B,B+,,,C+,
5656,A,A,,,A,
5657,A,A,,,B,
5658,A+,A,,,E,
5659,A-,A-,,,A,
5660,B+,A,,,B+,
5661,B+,A-,,,B+,
5662,B,A,,,B,
5663,C,A,,,D+,
5664,D,A-,,,B,
5665,C+,A,,,C-,
5666,B,A,,,C+,
5667,B+,B,,,A,
5668,A-,B-,,,A+,
5669,A,A-,,,B-,
5670,B,A,,,C+,
5671,C+,A-,,,A-,
5672,A-,A,,,C+,
5673,A-,A-,,,B+,
5674,B,A,,,B,
5675,B,A+,,,D-,
5676,A,A-,,,C,
5677,A-,A,,,B,
5678,A-,A,,,A+,
5679,B,B,,,B+,
5680,B+,A,,,A,
5681,C,A-,,,B+,
5682,B-,A-,,,A+,
5683,B-,A,,,C+,
5684,C,B,,,A,
5685,B+,A-,,,A+,
5686,A,A-,,,A-,
5687,B+,A-,,,B+,
5688,A,A,,,A-,
5689,A,A,,,A,
5690,B+,A-,,,A-,
5691,A-,A,,,B,
5692,A+,A,,,A,
5693,A,C,,,C+,
5694,B,A,,,A,
5695,A-,B,,,B-,
5696,A-,A-,,,A-,
5697,A+,A,,,B-,
5698,A-,B,,,A-,
5699,A-,A-,,,A-,
5700,B+,A-,,,A-,
5701,A,A,,,E,
5702,B+,B+,,,B+,
5703,A+,A-,,,C+,
5704,A,A,,,B-,
5705,A,A-,,,A-,
5706,A-,A,,,D,
5707,A-,A,,,C+,
5708,A,A,,,A-,
5709,B-,A-,,,B+,
5710,A,A,,,A-,
5711,E,A-,,,C+,
5712,A-,A,,,B,
5713,A-,A-,,,C-,
5714,A-,A-,,,A+,
5715,A-,A,,,B+,
5716,C+,A-,,,B+,
5717,B,A,,,A-,
5718,C,B+,,,B+,
5719,C+,A,,,A+,
5720,B,A-,,,C+,
5721,C+,A,,,A,
5722,B+,A,,,B,
5723,C-,A,,,B+,
5724,A-,A,,,A,
5725,A-,A,,,A-,
5726,A-,A-,,,C+,
5727,B,B,,,C+,
5728,A,A-,,,B,
5729,C,A,,,B-,
5730,C,B+,,,B-,
5731,A,A-,,,A-,
5732,B,A,,,A-,
5733,B,B+,,,E,
5734,A-,A,,,C,
5735,C,B,,,B-,
5736,A,A,,,B,
5737,A,A,,,B+,
5738,A+,A,,,B-,
5739,B-,B,,,C+,
5740,B-,A,,,C,
5741,C-,B,,,A,
5742,C+,A,,,A-,
5743,B,A,,,B-,
5744,A-,A-,,,E,
5745,A,A-,,,A,
5746,A-,B,,,B-,
5747,B,A-,,,A,
5748,A,A,,,B+,
5749,C+,A,,,A-,
5750,C-,A,,,B,
5751,A-,A,,,C+,
5752,A,A,,,B-,
5753,B,A,,,A-,
5754,C,A,,,B-,
5755,A+,A,,,A+,
5756,B+,A,,,C+,
5757,A,A,,,A,
5758,A,A-,,,B-,
5759,A,B+,,,B+,
5760,C-,B+,,,A,
5761,A-,A-,,,A,
5762,A,A,,,C,
5763,A+,B+,,,B+,
5764,B+,A,,,C+,
5765,A+,B+,,,C+,
5766,A-,A,,,B,
5767,B+,C+,,,C+,
5768,B,A,,,B-,
5769,B,A-,,,D+,
5770,B-,A-,,,B+,
5771,A,A,,,B-,
5772,A,A-,,,A,
5773,B,A-,,,C+,
5774,A,A,,,B,
5775,A,A,,,A+,
5776,A-,A,,,C+,
5777,D,A,,,B+,
5778,B,E,,,E,
5779,B+,B+,,,C,
5780,A-,A,,,B,
5781,B,B+,,,B-,
5782,B,A-,,,A-,
5783,B,B+,,,A,
5784,A-,A,,,A,
5785,A+,A,,,A,
5786,B+,A,,,A,
5787,B,A-,,,B+,
5788,A,A,,,A,
5789,B-,A-,,,B,
5790,A,A,,,E,
5791,A-,D,,,A-,
5792,B+,A,,,A-,
5793,A+,A,,,C-,
5794,A,A,,,D,
5795,C+,A,,,B-,
5796,A+,A-,,,B-,
5797,B+,A-,,,B+,
5798,A,B,,,B-,
5799,C+,A-,,,A-,
5800,A-,A,,,B-,
5801,B,A,,,C+,
5802,B+,B+,,,B,
5803,A+,A,,,B,
5804,A,A,,,B,
5805,B-,A,,,C,
5806,A-,A+,,,C-,
5807,B-,B,,,A-,
5808,A,B,,,A-,
5809,C-,B+,,,C-,
5810,A,A-,,,B+,
5811,A+,A-,,,B-,
5812,A-,B,,,B+,
5813,C,A,,,B+,
5814,B+,A+,,,A,
5815,B+,A,,,A,
5816,B+,A+,,,B,
5817,B,A-,,,B,
5818,A-,B+,,,C+,
5819,A-,A,,,B+,
5820,A-,A,,,C+,
5821,B,A,,,A-,
5822,C,A-,,,A,
5823,A,A,,,A,
5824,A,A-,,,B-,
5825,B+,A+,,,B,
5826,B-,A,,,D,
5827,B+,A,,,A-,
5828,B,A-,,,A,
5829,A+,B+,,,B,
5830,A,A-,,,B+,
5831,A-,A,,,B-,
5832,B,A,,,B-,
5833,B+,A-,,,D-,
5834,B+,B,,,A,
5835,B,B,,,A-,
5836,B+,A-,,,B+,
5837,A-,A,,,C,
5838,A+,A+,,,B,
5839,C-,A,,,E,
5840,A-,A+,,,D+,
5841,A-,B+,,,B,
5842,B,A-,,,B+,
5843,B+,A,,,B,
5844,A,A,,,A-,
5845,B-,A,,,C+,
5846,A+,A-,,,A-,
5847,B,A,,,B+,
5848,A+,B,,,D+,
5849,A-,A,,,B,
5850,C-,A,,,A-,
5851,D,A,,,A-,
5852,A-,A-,,,A,
5853,B,A,,,B+,
5854,B+,B,,,A-,
5855,A,A-,,,A+,
5856,B-,A-,,,B-,
5857,B,A,,,B+,
5858,A-,A,,,A-,
5859,B-,A,,,D-,
5860,C,A-,,,B,
5861,A-,A,,,A,
5862,A-,D+,,,A,
5863,B-,A,,,A+,
5864,C-,A,,,A-,
5865,A-,A-,,,E,
5866,A,A,,,B,
5867,C+,A,,,B+,
5868,C-,A,,,D,
5869,C,B,,,C+,
5870,A+,A-,,,A,
5871,C-,A,,,A,
5872,B+,A,,,A-,
5873,B-,A,,,A,
5874,A-,D,,,A-,
5875,A,B+,,,C+,
5876,B+,A-,,,B-,
5877,A-,A-,,,A-,
5878,C,B+,,,B,
5879,A-,C,,,C+,
5880,C+,A,,,C-,
5881,A-,A-,,,B,
5882,B-,A,,,A-,
5883,A-,A,,,B+,
5884,C+,B+,,,B-,
5885,A,A,,,B-,
5886,A-,A-,,,D+,
5887,A,A,,,B+,
5888,A-,A-,,,A,
5889,A,A-,,,A,
5890,B,B+,,,B,
5891,C+,A-,,,A,
5892,B+,A,,,D+,
5893,A-,A,,,E,
5894,A+,B+,,,C+,
5895,C,A-,,,B+,
5896,A,A-,,,A-,
5897,B+,A,,,C+,
5898,A,A,,,C,
5899,B-,A-,,,B+,
5900,A+,B+,,,D,
5901,C-,B,,,C,
5902,A,B+,,,B-,
5903,A-,A,,,B-,
5904,B,A+,,,A,
5905,A-,A,,,C+,
5906,B,A-,,,B-,
5907,B,A-,,,B,
5908,B,A,,,A,
5909,C+,A,,,D+,
5910,B,A,,,B-,
5911,B-,B,,,A,
5912,A+,B,,,B,
5913,A,A,,,B-,
5914,B+,A-,,,B-,
5915,B,A,,,C+,
5916,A-,B+,,,A-,
5917,B,B,,,B+,
5918,D,A,,,A,
5919,A,B,,,A,
5920,B,A,,,C+,
5921,C-,B+,,,B-,
5922,C-,A,,,A,
5923,B+,A-,,,A-,
5924,A-,A+,,,C-,
5925,B,B,,,C+,
5926,A+,A-,,,A-,
5927,A-,A+,,,C+,
5928,C,A,,,C+,
5929,C,A,,,C+,
5930,C-,A,,,A-,
5931,B,A+,,,A,
5932,A-,A,,,A-,
5933,A-,A-,,,A,
5934,A,A-,,,B+,
5935,A,A-,,,A-,
5936,C-,B,,,B,
5937,A-,A,,,A+,
5938,B-,A-,,,B,
5939,B+,A,,,A-,
5940,A,A-,,,C-,
5941,B-,A,,,A,
5942,A,B,,,B-,
5943,B+,A,,,B,
5944,A,A,,,B,
5945,A-,B,,,D+,
5946,A-,B,,,D-,
5947,A+,B-,,,B,
5948,D+,B+,,,C,
5949,B-,B+,,,A,
5950,D+,A,,,B,
5951,A,B-,,,A-,
5952,A-,A,,,A-,
5953,A,A-,,,A-,
5954,B+,A-,,,C+,
5955,B+,C,,,A,
5956,C+,B+,,,B-,
5957,B-,A,,,D+,
5958,C,A-,,,B+,
5959,A,A-,,,C+,
5960,A-,A,,,E,
5961,B,A-,,,A+,
5962,B+,A,,,B,
5963,B,B+,,,C-,
5964,C+,A,,,A,
5965,B+,A-,,,C+,
5966,A-,A,,,A-,
5967,A-,A+,,,B-,
5968,C-,A-,,,A,
5969,A,A,,,B,
5970,A,B+,,,B+,
5971,C+,A,,,A,
5972,C+,A,,,A-,
5973,A+,A-,,,B-,
5974,A+,A,,,D-,
5975,B+,A-,,,C,
5976,A-,B+,,,A+,
5977,A-,A-,,,B+,
5978,A-,A-,,,B,
5979,D,A,,,B-,
5980,B+,A,,,B-,
5981,B+,A,,,C+,
5982,A-,A,,,B,
5983,B-,A-,,,D,
5984,B,A,,,A,
5985,B+,A,,,A+,
5986,B+,A,,,C-,
5987,B-,A-,,,B,
5988,A,A-,,,A-,
5989,B-,B+,,,A,
5990,C-,B,,,A-,
5991,C-,B,,,B-,
5992,A-,A,,,B+,
5993,B,B+,,,A+,
5994,C+,A,,,C-,
5995,B,A,,,B+,
5996,C+,A,,,A,
5997,B+,A,,,A-,
5998,B,A,,,A-,
5999,A-,A,,,A,
6000,D-,A,,,A-,
6001,B+,A,,,B+,
6002,A,A,,,B,
6003,B+,A,,,B+,
6004,B+,B+,,,A+,
6005,B-,A,,,B,
6006,A,A+,,,C+,
6007,B+,A,,,A,
6008,A,A,,,C-,
6009,E,C,,,B+,
6010,B+,A,,,A-,
6011,A,B+,,,A-,
6012,B,A-,,,B+,
6013,A-,A,,,C,
6014,B,A,,,B-,
6015,B-,B+,,,A+,
6016,A,A-,,,D+,
6017,A-,A,,,B+,
6018,C+,A-,,,A,
6019,C+,A-,,,B+,
6020,A-,B+,,,A,
6021,A,A,,,A,
6022,D+,A-,,,B-,
6023,B+,A,,,B-,
6024,A,A-,,,B,
6025,B-,A,,,B+,
6026,A,B+,,,B-,
6027,A-,A,,,C+,
6028,B,A,,,B-,
6029,B+,A,,,A-,
6030,B+,B+,,,B+,
6031,A,A-,,,B+,
6032,B-,A-,,,B-,
6033,C+,B+,,,C,
6034,A-,A-,,,A,
6035,B+,B,,,C+,
6036,A,A,,,C-,
6037,A-,A,,,C+,
6038,A-,B+,,,A,
6039,A,A-,,,C-,
6040,A,A,,,A+,
6041,A,A+,,,A-,
6042,A,A,,,A+,
6043,B-,A,,,B+,
6044,C,A-,,,C,
6045,B+,A-,,,C-,
6046,C-,B+,,,C+,
6047,B-,A,,,A-,
6048,A-,A,,,A,
6049,B-,A,,,B+,
6050,A-,B+,,,A-,
6051,C+,A,,,B+,
6052,B-,A,,,C-,
6053,B-,A,,,A,
6054,C+,A,,,B,
6055,B,A,,,B+,
6056,B,A,,,B,
6057,A-,A,,,B-,
6058,B,A-,,,C,
6059,A-,A-,,,B+,
6060,A,A,,,C+,
6061,B-,B+,,,C,
6062,B-,A,,,B-,
6063,A-,A-,,,B+,
6064,B-,A,,,B,
6065,A-,A,,,B-,
6066,C-,A,,,A+,
6067,B+,B+,,,D-,
6068,B,A-,,,B,
6069,A,A,,,C+,
6070,A,B+,,,B+,
6071,A+,A,,,E,
6072,B+,C-,,,B-,
6073,A-,B+,,,B,
6074,A,A,,,C,
6075,B-,A,,,B-,
6076,B-,A,,,B,
6077,A,A-,,,C+,
6078,A,A-,,,B-,
6079,A-,A,,,D+,
6080,B+,A,,,B,
6081,B+,C+,,,A+,
6082,A-,A,,,A-,
6083,A-,A,,,B+,
6084,C,B,,,A+,
6085,B,A,,,B,
6086,A+,A,,,B-,
6087,A+,A,,,A,
6088,A+,A,,,A,
6089,B+,A,,,B-,
6090,B,B+,,,B+,
6091,B+,A,,,B+,
6092,A,A,,,A-,
6093,A,A,,,D,
6094,B-,B,,,A-,
6095,B-,A,,,B+,
6096,B+,A,,,C+,
6097,B+,A-,,,B+,
6098,B-,A-,,,B-,
6099,C+,B,,,B,
6100,B-,A-,,,B,
6101,A-,A-,,,A-,
6102,B-,B+,,,A-,
6103,A-,A-,,,C+,
6104,A-,A,,,B,
6105,A+,A,,,D+,
6106,B+,B,,,C,
6107,A-,A-,,,B-,
6108,B,B+,,,B+,
6109,A-,A,,,B+,
6110,B+,A-,,,B+,
6111,C,B,,,A+,
6112,A+,B+,,,A-,
6113,A-,A-,,,B,
6114,A-,B+,,,B,
6115,A,B+,,,A-,
6116,B-,A,,,C+,
6117,B-,A,,,B+,
6118,B+,B+,,,B,
6119,B-,A,,,B,
6120,A+,A,,,B-,
6121,A-,A,,,B+,
6122,B+,A,,,A-,
6123,A,A-,,,B+,
6124,A+,A-,,,B+,
6125,A,A,,,A+,
6126,B,A-,,,C-,
6127,A+,A-,,,B+,
6128,A-,A-,,,C+,
6129,B,A,,,B-,
6130,B,A-,,,A-,
6131,A,A,,,A+,
6132,B-,B+,,,C-,
6133,A+,A,,,B+,
6134,A,A-,,,C,
6135,A+,A-,,,B-,
6136,A-,A-,,,C-,
6137,B-,B,,,B,
6138,B+,B+,,,A+,
6139,B+,A,,,A-,
6140,B,A,,,B+,
6141,A-,C+,,,D+,
6142,D+,A-,,,C,
6143,C+,A,,,A,
6144,B-,B+,,,B,
6145,B+,B+,,,C,
6146,A,A,,,A-,
6147,B,B,,,A-,
6148,B-,A+,,,A+,
6149,C,A,,,A+,
6150,B-,A-,,,B-,
6151,B-,A,,,B,
6152,A+,B+,,,C+,
6153,A,A,,,A-,
6154,A-,B+,,,B+,
6155,B,B,,,B,
6156,B+,A,,,B-,
6157,A,A-,,,A-,
6158,A-,A+,,,A-,
6159,A,A+,,,C+,
6160,B+,B+,,,A,
6161,A-,C+,,,A,
6162,B,B+,,,C-,
6163,A-,A-,,,A-,
6164,C,A+,,,B+,
6165,A-,D,,,C+,
6166,A-,A+,,,B,
6167,B-,B+,,,B-,
6168,B,A,,,B+,
6169,A-,A,,,B+,
6170,B+,A,,,C,
6171,C,A,,,E,
6172,A-,B+,,,A,
6173,C,A,,,A-,
6174,A-,A-,,,B+,
6175,C,A,,,B-,
6176,B-,A,,,B,
6177,B+,A,,,C+,
6178,A+,A-,,,D+,
6179,A+,A-,,,B-,
6180,A-,A-,,,C+,
6181,A,A,,,B-,
6182,A,A,,,A,
6183,B+,A,,,B+,
6184,A,B,,,E,
6185,A-,B-,,,A,
6186,C,A-,,,A+,
6187,A,A-,,,E,
6188,B,A-,,,B,
6189,B-,A,,,A-,
6190,A-,A,,,D+,
6191,B,A,,,B+,
6192,A,A-,,,C,
6193,B,A,,,A-,
6194,B,A-,,,C+,
6195,A+,B,,,B-,
6196,A,A-,,,B+,
6197,B,A,,,D+,
6198,B+,A,,,C-,
6199,B+,A,,,B,
6200,A,B,,,B+,
6201,B,A-,,,A-,
6202,C-,A-,,,B,
6203,A-,B+,,,B,
6204,B,A-,,,B+,
6205,A,A,,,C+,
6206,A,A,,,A,
6207,A-,A,,,C,
6208,B-,A-,,,A+,
6209,A-,A+,,,A-,
6210,A-,A,,,C-,
6211,B,B,,,C,
6212,B+,A-,,,C+,
6213,B,A+,,,B,
6214,A,A-,,,A-,
6215,B+,A,,,E,
6216,A,A-,,,C+,
6217,B,A,,,C+,
6218,A,A,,,B,
6219,B-,B-,,,A-,
6220,A,A,,,B+,
6221,C+,A,,,C+,
6222,B,A,,,C+,
6223,A,A,,,B+,
6224,C-,B+,,,B+,
6225,B+,A-,,,B,
6226,A-,A,,,B,
6227,A,A,,,A-,
6228,A,B+,,,B-,
6229,B-,A,,,B,
6230,B+,A,,,B,
6231,C+,A,,,A-,
6232,B+,B-,,,B,
6233,A,A-,,,A-,
6234,B,A+,,,B+,
6235,B,A-,,,B-,
6236,B,A,,,A,
6237,A+,A-,,,A-,
6238,B,A-,,,B+,
6239,C-,A,,,A-,
6240,B+,A-,,,A,
6241,B+,A-,,,A,
6242,A,A,,,B+,
6243,A,B+,,,A+,
6244,A,A+,,,A-,
6245,C,A,,,A,
6246,A,A,,,C+,
6247,C+,A,,,A-,
6248,A,A-,,,A-,
6249,A+,A,,,A+,
6250,C+,A+,,,A+,
6251,A-,A,,,B+,
6252,C+,A-,,,A,
6253,B-,B,,,C+,
6254,A,A-,,,C-,
6255,B-,B-,,,A-,
6256,B,A,,,B,
6257,A+,A,,,B-,
6258,A,B+,,,A-,
6259,B,A,,,C,
6260,A+,A,,,A-,
6261,A+,A,,,A-,
6262,A-,A,,,C,
6263,B,A,,,B-,
6264,A-,B+,,,C,
6265,C+,B,,,A-,
6266,A-,A-,,,A,
6267,B,C+,,,C+,
6268,A+,B-,,,A-,
6269,A-,B+,,,B,
6270,B+,A,,,C,
6271,B+,A,,,A+,
6272,A,A-,,,B+,
6273,A,A-,,,B,
6274,B-,B+,,,A-,
6275,B-,A-,,,A-,
6276,B,C-,,,B+,
6277,A,B,,,B,
6278,A,A+,,,A-,
6279,A,B,,,B,
6280,B,B+,,,E,
6281,A+,A,,,C,
6282,C+,A-,,,A,
6283,A-,A,,,A-,
6284,A,A-,,,C,
6285,A,B+,,,A-,
6286,A-,A,,,D-,
6287,B+,A,,,B+,
6288,B,A,,,A,
6289,A-,B+,,,A,
6290,B-,A-,,,C+,
6291,A-,A,,,C,
6292,B-,A,,,A-,
6293,A-,B+,,,B,
6294,B+,A-,,,B,
6295,A,A,,,A,
6296,A+,B,,,E,
6297,E,C+,,,B+,
6298,B+,A-,,,B-,
6299,A,C,,,B-,
6300,A+,A-,,,A-,
6301,B+,A+,,,B,
6302,B+,A,,,D,
6303,A,A,,,B,
6304,D+,A,,,A-,
6305,B,A,,,B,
6306,C,B+,,,A,
6307,B+,A-,,,B,
6308,C-,A,,,A-,
6309,A-,A-,,,B,
6310,B+,A,,,A-,
6311,B,A-,,,B-,
6312,B-,A-,,,A-,
6313,C,A,,,B,
6314,A+,A,,,C+,
6315,B,B,,,E,
6316,B+,A-,,,C,
6317,A,A,,,A-,
6318,A+,B+,,,A,
6319,A,A,,,C,
6320,C-,A,,,B,
6321,B-,A+,,,A,
6322,C-,A-,,,A,
6323,B-,B+,,,A,
6324,B+,A,,,C,
6325,B+,B+,,,B-,
6326,A-,B+,,,A-,
6327,B+,A,,,A+,
6328,A-,B+,,,A,
6329,A,A,,,C+,
6330,A-,B+,,,C+,
6331,A,A,,,B+,
6332,A-,B+,,,B+,
6333,B,A-,,,B-,
6334,B-,B+,,,B,
6335,B+,A-,,,A-,
6336,C+,A,,,D,
6337,B,B+,,,C+,
6338,B,B+,,,C+,
6339,A-,A-,,,A,
6340,B,B+,,,B+,
6341,B-,B,,,B,
6342,A-,B,,,A-,
6343,C,A,,,A-,
6344,A-,B,,,B+,
6345,B-,B+,,,A+,
6346,B-,B,,,B-,
6347,C+,A,,,A,
6348,B+,A,,,B,
6349,D-,A-,,,C+,
6350,B-,B,,,A-,
6351,C-,B+,,,B,
6352,B+,C+,,,A-,
6353,A-,A-,,,C-,
6354,B,A,,,A-,
6355,A+,A-,,,C-,
6356,A+,A,,,A,
6357,A-,A,,,A+,
6358,B,A,,,A+,
6359,C-,A,,,A-,
6360,A+,A,,,A,
6361,D,A,,,B-,
6362,C,A-,,,B+,
6363,B+,A-,,,C,
6364,A,A-,,,B+,
6365,A,A+,,,B,
6366,B+,A,,,A+,
6367,A-,A,,,C,
6368,C,A-,,,B+,
6369,A,A,,,A,
6370,A,C+,,,D+,
6371,A-,A-,,,A-,
6372,B,A-,,,B-,
6373,A-,C-,,,A-,
6374,C+,A,,,B-,
6375,A+,A-,,,C+,
6376,C+,A-,,,E,
6377,A-,A,,,A-,
6378,C-,A+,,,A-,
6379,B,A,,,C-,
6380,B,C,,,C+,
6381,A,B+,,,B,
6382,B+,B+,,,B-,
6383,C-,A,,,B+,
6384,B-,A,,,B,
6385,A,A,,,B+,
6386,C-,A,,,C+,
6387,A+,A-,,,A-,
6388,B,A,,,C+,
6389,A-,A-,,,B+,
6390,D-,A,,,B,
6391,A,C,,,C+,
6392,B,A,,,C,
6393,A-,A,,,B-,
6394,A-,B+,,,A-,
6395,B-,A,,,D,
6396,C,B+,,,A,
6397,D+,A,,,C+,
6398,C,A,,,C-,
6399,C-,A,,,A,
6400,C,A-,,,B+,
6401,C+,A-,,,B,
6402,A,A,,,A+,
6403,B,B+,,,C-,
6404,C+,A,,,B+,
6405,B+,B,,,A,
6406,C,B,,,B+,
6407,A,A,,,B-,
6408,A+,A-,,,C+,
6409,A,A,,,B-,
6410,A+,B+,,,B,
6411,B-,A,,,A+,
6412,B+,A,,,B+,
6413,B-,A-,,,A,
6414,B-,A+,,,B-,
6415,B-,C+,,,B,
6416,B,A,,,C-,
6417,B+,A-,,,C+,
6418,A-,A-,,,A,
6419,B-,B,,,A,
6420,B,A,,,B+,
6421,B+,A,,,B+,
6422,A-,A,,,B-,
6423,A,A,,,A-,
6424,B,A,,,A+,
6425,B-,A,,,C-,
6426,A+,A,,,A,
6427,B+,B+,,,B,
